fips2000,fips2010,fmr2,fmr0,fmr1,fmr3,fmr4,county,State,CouSub,countyname,Metro_code,Areaname,county_town_name,pop2010,state_alpha,fmr_type,metro
0100199999,0100199999,788,628,663,1084,1288,1,1,99999,Autauga County,METRO33860M33860,"Montgomery, AL MSA",Autauga County,54571,AL,40,1
0100399999,0100399999,762,494,643,1123,1318,3,1,99999,Baldwin County,NCNTY01003N01003,"Baldwin County, AL",Baldwin County,182265,AL,40,0
0100599999,0100599999,670,492,495,834,895,5,1,99999,Barbour County,NCNTY01005N01005,"Barbour County, AL",Barbour County,27457,AL,40,0
0100799999,0100799999,773,545,652,1015,1142,7,1,99999,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,22915,AL,40,1
0100999999,0100999999,773,545,652,1015,1142,9,1,99999,Blount County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,57322,AL,40,1
0101199999,0101199999,599,481,505,791,1061,11,1,99999,Bullock County,NCNTY01011N01011,"Bullock County, AL",Bullock County,10914,AL,40,0
0101399999,0101399999,599,453,456,870,894,13,1,99999,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,20947,AL,40,0
0101599999,0101599999,675,491,513,872,908,15,1,99999,Calhoun County,METRO11500M11500,"Anniston-Oxford, AL MSA",Calhoun County,118572,AL,40,1
0101799999,0101799999,696,511,514,867,1034,17,1,99999,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,34215,AL,40,0
0101999999,0101999999,599,481,500,883,894,19,1,99999,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,25989,AL,40,0
0102199999,0102199999,599,423,475,802,1061,21,1,99999,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,43643,AL,40,1
0102399999,0102399999,708,520,523,882,1056,23,1,99999,Choctaw County,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,13859,AL,40,0
0102599999,0102599999,599,461,464,836,891,25,1,99999,Clarke County,NCNTY01025N01025,"Clarke County, AL",Clarke County,25833,AL,40,0
0102799999,0102799999,599,445,448,803,806,27,1,99999,Clay County,NCNTY01027N01027,"Clay County, AL",Clay County,13932,AL,40,0
0102999999,0102999999,695,510,514,866,929,29,1,99999,Cleburne County,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,14972,AL,40,0
0103199999,0103199999,616,477,480,835,863,31,1,99999,Coffee County,NCNTY01031N01031,"Coffee County, AL",Coffee County,49948,AL,40,0
0103399999,0103399999,609,474,477,813,816,33,1,99999,Colbert County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,54428,AL,40,1
0103599999,0103599999,599,459,462,883,886,35,1,99999,Conecuh County,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,13228,AL,40,0
0103799999,0103799999,599,481,505,746,801,37,1,99999,Coosa County,NCNTY01037N01037,"Coosa County, AL",Coosa County,11539,AL,40,0
0103999999,0103999999,599,460,463,866,961,39,1,99999,Covington County,NCNTY01039N01039,"Covington County, AL",Covington County,37765,AL,40,0
